Subjek;Clip;Fase;HR;HRV;RMSSD;SDNN;SDSD;pNN50;pNN20;NN20;HRV_pLF;HRV_pHF;HRV_LF_HF_Ratio;HRV_VLF;HRV_LF;HRV_HF;SCL_Mean;SCL_STD;SCL_Skewness;SCL_Kurtosis;SCR_Number;SCR_Amplitude_Mean;SCR_Amplitude_STD;SCR_Amplitude_Max;SCR_Amplitude_Min;SCR_Duration_Mean;SCR_Duration_STD;SCR_Duration_Max;SCR_Duration_Min;SCR_Frequency;SCL_Variance;SCL_Slope;GSR_Mean;GSR_STD;GSR_Skewness;GSR_Kurtosis;GSR_Max;GSR_Min;GSR_Power_VLF;GSR_Power_LF;GSR_Power_HF;GSR_LF_HF_Ratio;GSR_Trend_Slope
2;0;1;91.4208321;4.245776561;0.02797233;0.052835867;0.027972205;0.061281337;0.405027933;145;80.24279982;19.75720018;4.061445908;0.748862483;1.162375961;0.286197573;5.720159663;3.955540547;0.980192695;3.530791105;23;1.243962077;2.452596007;7.280114854;-3.54358311;5.362608696;2.889268887;10.56;2.1;5.812484205;15.64630102;0.029166552;5.720159663;3.955540547;0.980192695;3.530791105;18.57191048;0.000222865;23.89417629;6.164024698;0.896967039;6.872074924;0.029166552
2;1;1;84.36724566;5.683621933;0.037733401;0.066940039;0.03772138;0.166666667;0.578313253;48;78.32307633;21.67692367;3.613200726;0.262165872;1.4989127;0.414843463;12.16566491;1.943504591;-4.673397237;27.33799647;2;5.570936317;7.424735723;10.8210173;0.320855339;6.85;4.440630586;9.99;3.71;1.967213115;3.777210094;0.037109622;12.16566491;1.943504591;-4.673397237;27.33799647;14.52980923;0.001372597;0.426435369;3.333457954;2.913964752;1.143959601;0.037109622
2;2;1;93.86038688;3.770243325;0.028013972;0.053183322;0.027992876;0.065217391;0.32967033;30;85.1382403;14.8617597;5.7286783;0.436672535;1.492515936;0.260534081;16.89938107;3.93616793;-1.077854298;7.668539363;5;4.015923024;5.485054881;13.15046268;-0.093902821;5.54;3.43316909;9.79;1.45;5.004170142;15.49341797;0.080809062;16.89938107;3.93616793;-1.077854298;7.668539363;24.38168039;0.001600471;17.61079201;8.488083942;3.979029913;2.133204356;0.080809062
2;3;1;87.1086234;5.674017335;0.035561695;0.06032837;0.035561486;0.158536585;0.518518519;42;80.12522486;19.87477514;4.031503466;0.103630188;1.765823852;0.438006284;13.62963596;2.202592588;-4.942613894;28.12565267;6;2.290352401;4.652450055;11.70559752;-0.620274943;4.99;2.87063756;10.26;2.92;6.20475698;4.851414109;0.039295628;13.62963596;2.202592588;-4.942613894;28.12565267;15.52848793;0.001429565;1.394751354;3.642194052;3.837686658;0.949059779;0.039295628
2;4;1;89.47804474;5.443264443;0.051001212;0.081081045;0.050923798;0.123595506;0.511363636;45;71.73490324;28.26509676;2.537932343;0.540253078;1.03317606;0.407093618;17.72803007;3.754992524;-1.824112592;10.26271406;5;3.774816016;6.109334623;14.55068838;0.282234155;5.764;4.455023008;12.89;1.42;4.917226684;14.09996886;-0.055352114;17.72803007;3.754992524;-1.824112592;10.26271406;24.71546076;0.001574576;16.32329916;6.412145499;4.494310973;1.426724928;-0.055352114
2;5;1;90.95502779;4.855890464;0.032011234;0.060156278;0.031991509;0.101123596;0.511363636;45;73.90330098;26.09669902;2.831902261;0.181490464;1.49873965;0.529234243;15.73689459;2.486799324;-4.981634734;29.22627201;8;2.5129523;4.890517377;14.54772176;-0.055682709;3.79875;2.758402423;10.37;1.26;8;6.184170878;0.041783361;15.73689459;2.486799324;-4.981634734;29.22627201;19.16259683;0.001678156;1.287464491;4.842771421;5.724885306;0.845915885;0.041783361
2;6;1;84.5210474;5.648098636;0.044761272;0.075979782;0.044742112;0.202380952;0.602409639;50;81.86920322;18.13079678;4.515477406;0.046050783;1.747693992;0.38704523;14.85474037;2.324402636;-5.121260712;30.08497661;6;2.960663726;4.826690986;12.78877708;0.399581467;4.823333333;3.169975815;10.49;2.07;5.865102639;5.402847616;0.039781076;14.85474037;2.324402636;-5.121260712;30.08497661;16.97158479;0.001590113;0.993954893;4.621052467;4.094557919;1.128583979;0.039781076
2;7;1;91.04859335;4.560790568;0.032960031;0.061224306;0.03293181;0.102272727;0.448275862;39;78.47579774;21.52420226;3.645932927;0.210362229;1.590108306;0.436132078;15.45056777;2.51349648;-4.66564584;26.63503149;5;2.849534014;5.838976817;13.19304299;-0.609550038;5.644;3.895032734;9.87;2.12;5.047955578;6.317664553;0.013345384;15.45056777;2.51349648;-4.66564584;26.63503149;18.25627198;0.001652261;1.761240424;5.989633208;3.947787484;1.517212675;0.013345384
2;8;1;91.70958631;4.756378817;0.03523859;0.069442402;0.035183031;0.131868132;0.455555556;41;76.02104869;23.97895131;3.17032416;0.558820735;1.228732511;0.387573147;16.49567951;2.841756053;-4.020891291;21.82547963;5;2.939666743;5.746851174;13.01620778;-1.482125326;5.67;3.960852181;12.49;2.26;4.934210526;8.075577465;0.012546532;16.49567951;2.841756053;-4.020891291;21.82547963;19.72185732;0.001538324;4.388742624;6.976938563;3.822399992;1.825276941;0.012546532
2;9;1;88.0587058;5.151858342;0.034004733;0.072538106;0.033992297;0.149425287;0.511627907;44;83.45668713;16.54331287;5.044738486;0.387056065;1.51036188;0.299393494;15.65163234;2.583850515;-4.242258968;24.30579174;8;2.565439333;4.607371825;13.8488008;-0.061342396;3.8625;2.644307903;9.14;1.16;7.864984434;6.676283482;0.062946248;15.65163234;2.583850515;-4.242258968;24.30579174;18.50607753;0.001688514;0.555892954;6.374802493;5.15624765;1.236325896;0.062946248
